positive  	{'Negative Emotion': 0, 'Positive Emotion': 16.666666666666668, 'liwc:positive': 1, 'UNI_an': 0.05555555555555555, 'UNI_excellent': 0.05555555555555555, 'UNI_restaurant': 0.05555555555555555, 'UNI_the': 0.05555555555555555, 'UNI_food': 0.05555555555555555, 'UNI_wonderful': 0.05555555555555555, 'UNI_service': 0.05555555555555555, 'UNI_friendly': 0.05555555555555555, 'UNI_attentive': 0.05555555555555555, 'UNI_atmosphere': 0.05555555555555555, 'UNI_warm': 0.05555555555555555, 'UNI_homey': 0.05555555555555555, 'UNI_it': 0.05555555555555555, 'UNI_best': 0.05555555555555555, 'UNI_valentine': 0.05555555555555555, 'UNI_dinner': 0.05555555555555555, 'UNI_i': 0.05555555555555555, 'UNI_ever': 0.05555555555555555}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 0, 'liwc:negative': 1, 'UNI_i': 0.08, 'UNI_eat': 0.04, 'UNI_tizzano': 0.04, 'UNI_least': 0.04, 'UNI_twice': 0.04, 'UNI_month': 0.04, 'UNI_their': 0.04, 'UNI_soups': 0.04, 'UNI_homemade': 0.04, 'UNI_wonderful': 0.04, 'UNI_italian': 0.04, 'UNI_food': 0.08, 'UNI_sauces': 0.04, 'UNI_excellent': 0.08, 'UNI_also': 0.04, 'UNI_regular': 0.04, 'UNI_menu': 0.04, 'UNI_pork': 0.04, 'UNI_chops': 0.04, 'UNI_steaks': 0.04, 'UNI_everything': 0.04, 'UNI_ever': 0.04}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.602150537634408, 'liwc:positive': 1, 'UNI_i': 0.03260869565217391, 'UNI_think': 0.010869565217391304, 'UNI_may': 0.010869565217391304, 'UNI_biggest': 0.010869565217391304, 'UNI_cheerleader': 0.010869565217391304, 'UNI_tavolini': 0.03260869565217391, 'UNI_anywhere': 0.010869565217391304, 'UNI_ever': 0.010869565217391304, 'UNI_since': 0.010869565217391304, 'UNI_wife': 0.010869565217391304, 'UNI_started': 0.010869565217391304, 'UNI_dating': 0.010869565217391304, 'UNI_high': 0.010869565217391304, 'UNI_school': 0.010869565217391304, 'UNI_looked': 0.010869565217391304, 'UNI_somewhere': 0.010869565217391304, 'UNI_partake': 0.010869565217391304, 'UNI_most-rare': 0.010869565217391304, 'UNI_fine': 0.03260869565217391, 'UNI_dining': 0.010869565217391304, 'UNI_experience': 0.010869565217391304, 'UNI_brantford': 0.021739130434782608, 'UNI_otherwise': 0.010869565217391304, 'UNI_terrible': 0.010869565217391304, 'UNI_city': 0.010869565217391304, 'UNI_visit': 0.021739130434782608, 'UNI_live': 0.010869565217391304, 'UNI_we': 0.021739130434782608, 'UNI_first': 0.010869565217391304, 'UNI_tried': 0.010869565217391304, 'UNI_late': 0.010869565217391304, 'UNI_90': 0.010869565217391304, 'UNI_returned': 0.010869565217391304, 'UNI_several': 0.010869565217391304, 'UNI_times': 0.010869565217391304, 'UNI_occasionally': 0.010869565217391304, 'UNI_travelling': 0.010869565217391304, 'UNI_halfway': 0.010869565217391304, 'UNI_across': 0.010869565217391304, 'UNI_province': 0.010869565217391304, 'UNI_enjoy': 0.021739130434782608, 'UNI_anna': 0.010869565217391304, 'UNI_pasta': 0.010869565217391304, 'UNI_garlic': 0.010869565217391304, 'UNI_bread': 0.010869565217391304, 'UNI_tartufo': 0.010869565217391304, 'UNI_treated': 0.010869565217391304, 'UNI_like': 0.010869565217391304, 'UNI_royalty': 0.010869565217391304, 'UNI_every': 0.010869565217391304, 'UNI_even': 0.021739130434782608, 'UNI_though': 0.010869565217391304, 'UNI_never': 0.010869565217391304, 'UNI_find': 0.010869565217391304, 'UNI_way': 0.010869565217391304, 'UNI_spend': 0.010869565217391304, 'UNI_hundred': 0.010869565217391304, 'UNI_dollars': 0.010869565217391304, 'UNI_amazing': 0.010869565217391304, 'UNI_value': 0.010869565217391304, 'UNI_full': 0.010869565217391304, 'UNI_meal': 0.010869565217391304, 'UNI_appetizers': 0.010869565217391304, 'UNI_drinks': 0.010869565217391304, 'UNI_desserts': 0.010869565217391304, 'UNI_around': 0.010869565217391304, 'UNI_the': 0.010869565217391304, 'UNI_truly': 0.010869565217391304, 'UNI_special': 0.010869565217391304, 'UNI_place': 0.010869565217391304, 'UNI_misfortune': 0.010869565217391304, 'UNI_passing': 0.010869565217391304, 'UNI_owe': 0.010869565217391304, 'UNI_get': 0.010869565217391304, 'UNI_highway': 0.010869565217391304, 'UNI_head': 0.010869565217391304, 'UNI_downtown': 0.010869565217391304, 'UNI_lock': 0.010869565217391304, 'UNI_car': 0.010869565217391304, 'UNI_tight': 0.010869565217391304, 'UNI_food': 0.010869565217391304}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.695652173913043, 'liwc:positive': 1, 'UNI_excellent': 0.045454545454545456, 'UNI_altogether': 0.045454545454545456, 'UNI_great': 0.09090909090909091, 'UNI_waitstaff': 0.045454545454545456, 'UNI_food': 0.045454545454545456, 'UNI_we': 0.09090909090909091, 'UNI_especially': 0.045454545454545456, 'UNI_like': 0.045454545454545456, 'UNI_sun-thur': 0.045454545454545456, 'UNI_hot': 0.045454545454545456, 'UNI_wings': 0.045454545454545456, 'UNI_deal': 0.045454545454545456, 'UNI_very': 0.045454545454545456, 'UNI_clean': 0.045454545454545456, 'UNI_restaurant': 0.045454545454545456, 'UNI_restrooms': 0.045454545454545456, 'UNI_would': 0.045454545454545456, 'UNI_recommend': 0.045454545454545456, 'UNI_place': 0.045454545454545456, 'UNI_anyone': 0.045454545454545456}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 5.769230769230769, 'liwc:positive': 1, 'UNI_this': 0.038461538461538464, 'UNI_best': 0.038461538461538464, 'UNI_restaurant': 0.057692307692307696, 'UNI_ive': 0.019230769230769232, 'UNI_eaten': 0.019230769230769232, 'UNI_long': 0.019230769230769232, 'UNI_time': 0.019230769230769232, 'UNI_it': 0.019230769230769232, 'UNI_quaint': 0.019230769230769232, 'UNI_place': 0.038461538461538464, 'UNI_seats': 0.019230769230769232, 'UNI_60': 0.019230769230769232, 'UNI_people': 0.019230769230769232, 'UNI_bicycle': 0.038461538461538464, 'UNI_decor': 0.019230769230769232, 'UNI_throughout': 0.019230769230769232, 'UNI_bici': 0.019230769230769232, 'UNI_itailian': 0.019230769230769232, 'UNI_play': 0.019230769230769232, 'UNI_theme': 0.019230769230769232, 'UNI_the': 0.038461538461538464, 'UNI_food': 0.019230769230769232, 'UNI_prepared': 0.019230769230769232, 'UNI_extremely': 0.019230769230769232, 'UNI_well': 0.019230769230769232, 'UNI_chef': 0.019230769230769232, 'UNI_certified': 0.019230769230769232, 'UNI_american': 0.019230769230769232, 'UNI_culinary': 0.019230769230769232, 'UNI_federation': 0.019230769230769232, 'UNI_awards': 0.019230769230769232, 'UNI_last': 0.019230769230769232, 'UNI_service': 0.019230769230769232, 'UNI_also': 0.019230769230769232, 'UNI_excellent': 0.019230769230769232, 'UNI_small': 0.019230769230769232, 'UNI_waitress': 0.019230769230769232, 'UNI_always': 0.019230769230769232, 'UNI_view': 0.019230769230769232, 'UNI_needed': 0.019230769230769232, 'UNI_anything': 0.019230769230769232, 'UNI_southwest': 0.019230769230769232, 'UNI_michigan': 0.019230769230769232, 'UNI_must': 0.019230769230769232, 'UNI_stop': 0.019230769230769232}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 5.0, 'liwc:positive': 1, 'UNI_a': 0.025, 'UNI_favorite': 0.025, 'UNI_locals': 0.025, 'UNI_tourist': 0.025, 'UNI_make': 0.05, 'UNI_reservations': 0.025, 'UNI_several': 0.025, 'UNI_weeks': 0.025, 'UNI_advance': 0.025, 'UNI_would': 0.025, 'UNI_like': 0.025, 'UNI_toi': 0.025, 'UNI_dine': 0.025, 'UNI_peak': 0.025, 'UNI_hours': 0.025, 'UNI_open': 0.025, 'UNI_grill': 0.025, 'UNI_area': 0.025, 'UNI_center': 0.025, 'UNI_peice': 0.025, 'UNI_busy': 0.025, 'UNI_resturant': 0.025, 'UNI_the': 0.025, 'UNI_menu': 0.05, 'UNI_offers': 0.025, 'UNI_many': 0.025, 'UNI_variations': 0.025, 'UNI_seafood': 0.025, 'UNI_entrees': 0.025, 'UNI_weel': 0.025, 'UNI_steaks': 0.025, 'UNI_fo': 0.025, 'UNI_land': 0.025, 'UNI_lobber': 0.025, 'UNI_sure': 0.025, 'UNI_try': 0.025, 'UNI_extensive': 0.025, 'UNI_appitizer': 0.025}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 25.0, 'liwc:positive': 1, 'UNI_it': 0.08333333333333333, 'UNI_best': 0.08333333333333333, 'UNI_food': 0.08333333333333333, 'UNI_desserts': 0.08333333333333333, 'UNI_i': 0.16666666666666666, 'UNI_long': 0.08333333333333333, 'UNI_time': 0.08333333333333333, 'UNI_would': 0.08333333333333333, 'UNI_definitely': 0.08333333333333333, 'UNI_suggest': 0.08333333333333333, 'UNI_friends': 0.08333333333333333}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 11.11111111111111, 'liwc:positive': 1, 'UNI_it': 0.1111111111111111, 'UNI_wonderful': 0.1111111111111111, 'UNI_i': 0.1111111111111111, 'UNI_didnt': 0.1111111111111111, 'UNI_know': 0.1111111111111111, 'UNI_columbia': 0.1111111111111111, 'UNI_sc': 0.1111111111111111, 'UNI_something': 0.1111111111111111, 'UNI_nice': 0.1111111111111111}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 7.5, 'liwc:positive': 1, 'UNI_the': 0.025, 'UNI_top': 0.025, 'UNI_cliff': 0.025, 'UNI_must': 0.025, 'UNI_service': 0.025, 'UNI_incredible': 0.025, 'UNI_atmosphere': 0.025, 'UNI_along': 0.025, 'UNI_breathtaking': 0.025, 'UNI_view': 0.025, 'UNI_pacific': 0.025, 'UNI_ocean': 0.025, 'UNI_well': 0.025, 'UNI_worth': 0.025, 'UNI_trip': 0.025, 'UNI_they': 0.025, 'UNI_serve': 0.025, 'UNI_surf': 0.025, 'UNI_turf': 0.025, 'UNI_food': 0.025, 'UNI_seasoned': 0.025, 'UNI_perfection': 0.025, 'UNI_bar': 0.025, 'UNI_make': 0.05, 'UNI_drink': 0.025, 'UNI_heart': 0.025, 'UNI_desires': 0.025, 'UNI_ask': 0.025, 'UNI_shirley': 0.025, 'UNI_chef': 0.025, 'UNI_speciality': 0.025, 'UNI_delightfully': 0.025, 'UNI_surprised': 0.025, 'UNI_everyone': 0.025, 'UNI_eager': 0.025, 'UNI_please': 0.025, 'UNI_may': 0.025, 'UNI_want': 0.025, 'UNI_leave': 0.025}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.16326530612245, 'liwc:positive': 1, 'UNI_very': 0.02127659574468085, 'UNI_convenient': 0.02127659574468085, 'UNI_location': 0.02127659574468085, 'UNI_right': 0.02127659574468085, 'UNI_interstate': 0.02127659574468085, 'UNI_i65': 0.02127659574468085, 'UNI_travelers': 0.0425531914893617, 'UNI_my': 0.02127659574468085, 'UNI_wife': 0.02127659574468085, 'UNI_i': 0.0425531914893617, 'UNI_eaten': 0.02127659574468085, 'UNI_numerous': 0.02127659574468085, 'UNI_times': 0.02127659574468085, 'UNI_food': 0.02127659574468085, 'UNI_service': 0.0425531914893617, 'UNI_hospitality': 0.02127659574468085, 'UNI_outstanding': 0.02127659574468085, 'UNI_you': 0.02127659574468085, 'UNI_try': 0.02127659574468085, 'UNI_sarge': 0.02127659574468085, 'UNI_rice': 0.02127659574468085, 'UNI_truly': 0.02127659574468085, 'UNI_best': 0.02127659574468085, 'UNI_ever': 0.02127659574468085, 'UNI_awesome': 0.02127659574468085, 'UNI_steaks': 0.02127659574468085, 'UNI_catfish': 0.02127659574468085, 'UNI_world': 0.02127659574468085, 'UNI_atmosphere': 0.02127659574468085, 'UNI_lacks': 0.02127659574468085, 'UNI_slightly': 0.02127659574468085, 'UNI_quality': 0.02127659574468085, 'UNI_easily': 0.02127659574468085, 'UNI_make': 0.02127659574468085, 'UNI_expect': 0.02127659574468085, 'UNI_wait': 0.02127659574468085, 'UNI_thursday-sunday': 0.02127659574468085, 'UNI_dinner': 0.02127659574468085, 'UNI_hours': 0.02127659574468085, 'UNI_worth': 0.02127659574468085, 'UNI_stop': 0.02127659574468085, 'UNI_heading': 0.02127659574468085, 'UNI_south': 0.02127659574468085, 'UNI_beaches': 0.02127659574468085}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 3.0303030303030303, 'liwc:positive': 1, 'UNI_off': 0.015384615384615385, 'UNI_north': 0.015384615384615385, 'UNI_college': 0.015384615384615385, 'UNI_indianapolis': 0.015384615384615385, 'UNI_set': 0.015384615384615385, 'UNI_mature': 0.015384615384615385, 'UNI_trees': 0.015384615384615385, 'UNI_sits': 0.015384615384615385, 'UNI_old': 0.015384615384615385, 'UNI_classic': 0.015384615384615385, 'UNI_hollyhock': 0.015384615384615385, 'UNI_hill': 0.015384615384615385, 'UNI_seating': 0.015384615384615385, 'UNI_10': 0.015384615384615385, 'UNI_full': 0.015384615384615385, 'UNI_staff': 0.015384615384615385, 'UNI_servicing': 0.015384615384615385, 'UNI_table': 0.015384615384615385, 'UNI_highly': 0.015384615384615385, 'UNI_reccommend': 0.015384615384615385, 'UNI_fried': 0.015384615384615385, 'UNI_chicken': 0.03076923076923077, 'UNI_dish': 0.015384615384615385, 'UNI_known': 0.015384615384615385, 'UNI_the': 0.03076923076923077, 'UNI_dinner': 0.015384615384615385, 'UNI_served': 0.015384615384615385, 'UNI_family': 0.03076923076923077, 'UNI_style': 0.03076923076923077, 'UNI_before': 0.015384615384615385, 'UNI_know': 0.015384615384615385, 'UNI_grandmas': 0.015384615384615385, 'UNI_feast-passing': 0.015384615384615385, 'UNI_mashed': 0.015384615384615385, 'UNI_potatoes': 0.015384615384615385, 'UNI_corn': 0.015384615384615385, 'UNI_green': 0.015384615384615385, 'UNI_beans': 0.015384615384615385, 'UNI_around': 0.015384615384615385, 'UNI_dig': 0.015384615384615385, 'UNI_this': 0.03076923076923077, 'UNI_great': 0.015384615384615385, 'UNI_place': 0.015384615384615385, 'UNI_take': 0.015384615384615385, 'UNI_birthday': 0.015384615384615385, 'UNI_food': 0.015384615384615385, 'UNI_homecooked': 0.015384615384615385, 'UNI_country': 0.015384615384615385, 'UNI_owners': 0.015384615384615385, 'UNI_stand': 0.015384615384615385, 'UNI_middle': 0.015384615384615385, 'UNI_restaurant': 0.015384615384615385, 'UNI_make': 0.015384615384615385, 'UNI_sure': 0.015384615384615385, 'UNI_goes': 0.015384615384615385, 'UNI_without': 0.015384615384615385, 'UNI_hitch': 0.015384615384615385, 'UNI_definately': 0.015384615384615385, 'UNI_must': 0.015384615384615385, 'UNI_visit': 0.015384615384615385}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 26.666666666666668, 'liwc:positive': 1, 'UNI_we': 0.06666666666666667, 'UNI_excellent': 0.13333333333333333, 'UNI_time': 0.06666666666666667, 'UNI_the': 0.06666666666666667, 'UNI_atmosphere': 0.06666666666666667, 'UNI_really': 0.06666666666666667, 'UNI_fun': 0.06666666666666667, 'UNI_service': 0.06666666666666667, 'UNI_friendly': 0.06666666666666667, 'UNI_food': 0.06666666666666667, 'UNI_great': 0.13333333333333333, 'UNI_place': 0.06666666666666667, 'UNI_location': 0.06666666666666667}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 8.0, 'liwc:positive': 1, 'UNI_i': 0.013333333333333334, 'UNI_thurman': 0.013333333333333334, 'UNI_4-5': 0.013333333333333334, 'UNI_times': 0.013333333333333334, 'UNI_varying': 0.013333333333333334, 'UNI_size': 0.013333333333333334, 'UNI_groups': 0.013333333333333334, 'UNI_5-10': 0.013333333333333334, 'UNI_people': 0.013333333333333334, 'UNI_their': 0.013333333333333334, 'UNI_tables': 0.02666666666666667, 'UNI_seat': 0.013333333333333334, 'UNI_6': 0.013333333333333334, 'UNI_give': 0.013333333333333334, 'UNI_next': 0.013333333333333334, 'UNI_eachother': 0.013333333333333334, 'UNI_during': 0.013333333333333334, 'UNI_winter': 0.013333333333333334, 'UNI_large': 0.013333333333333334, 'UNI_party': 0.013333333333333334, 'UNI_friday': 0.02666666666666667, 'UNI_night': 0.02666666666666667, 'UNI_wait': 0.04, 'UNI_well': 0.013333333333333334, 'UNI_worth': 0.013333333333333334, 'UNI_go': 0.013333333333333334, 'UNI_little': 0.013333333333333334, 'UNI_early': 0.013333333333333334, 'UNI_wo': 0.013333333333333334, "UNI_n't": 0.013333333333333334, 'UNI_wonderful': 0.013333333333333334, 'UNI_food': 0.02666666666666667, 'UNI_huge': 0.013333333333333334, 'UNI_portions': 0.013333333333333334, 'UNI_cheap': 0.013333333333333334, 'UNI_as': 0.013333333333333334, 'UNI_group': 0.013333333333333334, 'UNI_usually': 0.013333333333333334, 'UNI_got': 0.013333333333333334, 'UNI_burgers': 0.013333333333333334, 'UNI_split': 0.013333333333333334, 'UNI_order': 0.013333333333333334, 'UNI_fried': 0.013333333333333334, 'UNI_pretzle': 0.013333333333333334, 'UNI_bites': 0.013333333333333334, 'UNI_honey': 0.013333333333333334, 'UNI_mustard': 0.013333333333333334, 'UNI_dipping': 0.013333333333333334, 'UNI_sause': 0.013333333333333334, 'UNI_it': 0.013333333333333334, 'UNI_cost': 0.013333333333333334, 'UNI_roughly': 0.013333333333333334, 'UNI_11': 0.013333333333333334, 'UNI_person': 0.013333333333333334, 'UNI_everything': 0.013333333333333334, 'UNI_everyone': 0.013333333333333334, 'UNI_tried': 0.013333333333333334, 'UNI_liked': 0.013333333333333334, 'UNI_and': 0.013333333333333334, 'UNI_staff': 0.013333333333333334, 'UNI_extremely': 0.013333333333333334, 'UNI_friendly': 0.013333333333333334, 'UNI_if': 0.013333333333333334, 'UNI_want': 0.013333333333333334, 'UNI_fun': 0.013333333333333334, 'UNI_lots': 0.013333333333333334, 'UNI_good': 0.013333333333333334, 'UNI_price': 0.013333333333333334, 'UNI_try': 0.013333333333333334}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 6.896551724137931, 'liwc:positive': 1, 'UNI_i': 0.034482758620689655, 'UNI_5': 0.034482758620689655, 'UNI_children': 0.034482758620689655, 'UNI_differing': 0.034482758620689655, 'UNI_tastes': 0.034482758620689655, 'UNI_this': 0.034482758620689655, 'UNI_restaurant': 0.034482758620689655, 'UNI_something': 0.034482758620689655, 'UNI_everyone': 0.034482758620689655, 'UNI_the': 0.06896551724137931, 'UNI_steaks': 0.034482758620689655, 'UNI_thick': 0.034482758620689655, 'UNI_juicy': 0.034482758620689655, 'UNI_wife': 0.034482758620689655, 'UNI_broiled': 0.034482758620689655, 'UNI_cod': 0.034482758620689655, 'UNI_best': 0.034482758620689655, 'UNI_ever': 0.034482758620689655, 'UNI_meal': 0.034482758620689655, 'UNI_comes': 0.034482758620689655, 'UNI_salad': 0.034482758620689655, 'UNI_bar': 0.06896551724137931, 'UNI_huge': 0.034482758620689655, 'UNI_dessert': 0.034482758620689655, 'UNI_very': 0.034482758620689655, 'UNI_good': 0.034482758620689655, 'UNI_expensive': 0.034482758620689655}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 7.407407407407407, 'liwc:positive': 1, 'UNI_a': 0.037037037037037035, 'UNI_wonderful': 0.037037037037037035, 'UNI_diner': 0.037037037037037035, 'UNI_atmosphere': 0.037037037037037035, 'UNI_great': 0.07407407407407407, 'UNI_bargain': 0.07407407407407407, 'UNI_family': 0.037037037037037035, 'UNI_we': 0.037037037037037035, 'UNI_pot': 0.037037037037037035, 'UNI_pie': 0.1111111111111111, 'UNI_dinner': 0.037037037037037035, 'UNI_around': 0.037037037037037035, 'UNI_4.50': 0.037037037037037035, 'UNI_included': 0.037037037037037035, 'UNI_3': 0.037037037037037035, 'UNI_veggie': 0.037037037037037035, 'UNI_mashed': 0.037037037037037035, 'UNI_potatoes': 0.037037037037037035, 'UNI_roll': 0.037037037037037035, 'UNI_piece': 0.037037037037037035, 'UNI_dessert': 0.037037037037037035, 'UNI_not': 0.037037037037037035, 'UNI_fancy': 0.037037037037037035}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 5.47945205479452, 'liwc:positive': 1, 'UNI_we': 0.00684931506849315, 'UNI_go': 0.00684931506849315, 'UNI_regularly': 0.00684931506849315, 'UNI_convenient': 0.00684931506849315, 'UNI_downtown': 0.0136986301369863, 'UNI_traffic': 0.00684931506849315, 'UNI_etc': 0.00684931506849315, 'UNI_food': 0.0273972602739726, 'UNI_o.k': 0.00684931506849315, 'UNI_little': 0.00684931506849315, 'UNI_pricey-': 0.00684931506849315, 'UNI_20-26': 0.00684931506849315, 'UNI_willing': 0.00684931506849315, 'UNI_endure': 0.00684931506849315, 'UNI_prices': 0.00684931506849315, 'UNI_good': 0.0273972602739726, 'UNI_lately': 0.00684931506849315, 'UNI_however': 0.00684931506849315, 'UNI_hard': 0.00684931506849315, 'UNI_spending': 0.00684931506849315, 'UNI_150+': 0.00684931506849315, 'UNI_dinner': 0.00684931506849315, 'UNI_declined': 0.00684931506849315, 'UNI_there': 0.00684931506849315, 'UNI_time': 0.0136986301369863, 'UNI_i': 0.02054794520547945, 'UNI_give': 0.00684931506849315, 'UNI_restaurant': 0.0136986301369863, 'UNI_5': 0.00684931506849315, 'UNI_chef': 0.04794520547945205, 'UNI_ted': 0.00684931506849315, 'UNI_tyburski': 0.00684931506849315, 'UNI_working': 0.00684931506849315, 'UNI_he': 0.00684931506849315, "UNI_n't": 0.02054794520547945, 'UNI_head': 0.0273972602739726, 'UNI_outstanding': 0.00684931506849315, 'UNI_job': 0.00684931506849315, 'UNI_extra': 0.00684931506849315, 'UNI_attention': 0.00684931506849315, 'UNI_detail': 0.00684931506849315, 'UNI_heard': 0.00684931506849315, 'UNI_cleveland': 0.00684931506849315, 'UNI_metropolitan': 0.00684931506849315, 'UNI_whipping': 0.00684931506849315, 'UNI_great': 0.00684931506849315, 'UNI_dishes': 0.03424657534246575, 'UNI_since': 0.0136986301369863, 'UNI_don': 0.0136986301369863, 'UNI_left': 0.00684931506849315, 'UNI_though': 0.00684931506849315, 'UNI_menu': 0.02054794520547945, 'UNI_changed': 0.00684931506849315, 'UNI_traditional': 0.0136986301369863, 'UNI_signature': 0.0136986301369863, 'UNI_items': 0.0136986301369863, 'UNI_i.e': 0.00684931506849315, 'UNI_scallops': 0.00684931506849315, 'UNI_balsamic': 0.00684931506849315, 'UNI_vinegar': 0.00684931506849315, 'UNI_reduction': 0.00684931506849315, 'UNI_sauce': 0.00684931506849315, 'UNI_beef': 0.00684931506849315, 'UNI_wellington': 0.00684931506849315, 'UNI_removed': 0.00684931506849315, 'UNI_replaced': 0.00684931506849315, 'UNI_nearly': 0.00684931506849315, 'UNI_understand': 0.00684931506849315, 'UNI_new': 0.0136986301369863, 'UNI_incoming': 0.00684931506849315, 'UNI_might': 0.0136986301369863, 'UNI_want': 0.0136986301369863, 'UNI_prepare': 0.00684931506849315, 'UNI_old': 0.00684931506849315, 'UNI_establish': 0.00684931506849315, 'UNI_dish': 0.0136986301369863, 'UNI_consistently': 0.00684931506849315, 'UNI_mess': 0.00684931506849315, 'UNI_why': 0.00684931506849315, 'UNI_let': 0.00684931506849315, 'UNI_pride': 0.00684931506849315, 'UNI_vanity': 0.00684931506849315, 'UNI_step': 0.00684931506849315, 'UNI_often': 0.00684931506849315, 'UNI_feel': 0.00684931506849315, 'UNI_like': 0.00684931506849315, 'UNI_guinea': 0.00684931506849315, 'UNI_pigs': 0.00684931506849315, 'UNI_experimental': 0.00684931506849315, 'UNI_keep': 0.00684931506849315, 'UNI_showing': 0.00684931506849315, 'UNI_guess': 0.00684931506849315, 'UNI_still': 0.00684931506849315, 'UNI_searching': 0.00684931506849315, 'UNI_kind': 0.00684931506849315, 'UNI_call': 0.00684931506849315, 'UNI_my': 0.00684931506849315, 'UNI_vote': 0.00684931506849315, 'UNI_hope': 0.00684931506849315, 'UNI_owner': 0.00684931506849315, 'UNI_reads': 0.00684931506849315, 'UNI_review': 0.00684931506849315, 'UNI_puts': 0.00684931506849315, 'UNI_back': 0.00684931506849315, 'UNI_until': 0.00684931506849315, 'UNI_never': 0.00684931506849315, 'UNI_know': 0.00684931506849315, 'UNI_order': 0.00684931506849315, 'UNI_good..': 0.00684931506849315}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 7.6923076923076925, 'liwc:positive': 1, 'UNI_frank': 0.05128205128205128, 'UNI_great': 0.05128205128205128, 'UNI_place': 0.02564102564102564, 'UNI_eat': 0.02564102564102564, 'UNI_you': 0.02564102564102564, 'UNI_dine': 0.02564102564102564, 'UNI_take': 0.02564102564102564, 'UNI_anything': 0.02564102564102564, 'UNI_menu': 0.02564102564102564, 'UNI_the': 0.05128205128205128, 'UNI_food': 0.02564102564102564, 'UNI_wonderful': 0.02564102564102564, 'UNI_especially': 0.02564102564102564, 'UNI_sicilian': 0.02564102564102564, 'UNI_style': 0.02564102564102564, 'UNI_pizza': 0.02564102564102564, 'UNI_spaghetti': 0.02564102564102564, 'UNI_tomato': 0.02564102564102564, 'UNI_sauce': 0.02564102564102564, 'UNI_wonderfully': 0.02564102564102564, 'UNI_priced': 0.02564102564102564, 'UNI_bread': 0.02564102564102564, 'UNI_serve': 0.05128205128205128, 'UNI_meal': 0.02564102564102564, 'UNI_always': 0.05128205128205128, 'UNI_fresh': 0.02564102564102564, 'UNI_hot': 0.02564102564102564, 'UNI_oven': 0.02564102564102564, 'UNI_willing': 0.02564102564102564, 'UNI_restaurant': 0.02564102564102564, 'UNI_i': 0.02564102564102564, 'UNI_definitely': 0.02564102564102564, 'UNI_going': 0.02564102564102564, 'UNI_forever': 0.02564102564102564}
positive  	{'Negative Emotion': 0, 'Positive Emotion': 4.0, 'liwc:positive': 1, 'UNI_we': 0.08, 'UNI_happen': 0.04, 'UNI_stop': 0.04, 'UNI_chance': 0.04, 'UNI_what': 0.04, 'UNI_find': 0.04, 'UNI_the': 0.12, 'UNI_food': 0.04, 'UNI_served': 0.04, 'UNI_piping': 0.04, 'UNI_hot': 0.04, 'UNI_tasted': 0.04, 'UNI_great': 0.04, 'UNI_service': 0.04, 'UNI_fast': 0.04, 'UNI_efficient': 0.04, 'UNI_prices': 0.04, 'UNI_reasonable': 0.04, 'UNI_highly': 0.04, 'UNI_recommended': 0.04, 'UNI_back': 0.04, 'UNI_soon': 0.04}
